CDCMACREDIT5A001-FLUXHORSBILANJOUR                 20160515155302
REFCT1;TEC501;CTR801;STR502;D25501;RUB003;RUB103;RUB999;RUB110;RUB202;RUB529;RUB531;RUB213;RUB251;DAT101;DAT102;T50001;EUR001;RIB003;RUB105;RUB106;EUR105
RefContrat;0495603649904;HE01030974;049500;0495603649904;008;010;ZZZZ;311;080;;000;S;000;20160519;20160519;00000000;10000,00;443193449506036499340;O;N;0,00
RefContrat1111;0494594602301;HE00920422;049400;0494594602301;008;010;ZZZZ;511;123;;000;S;000;20160519;20160519;00000000;320000,00;443191349405946023440;O;N;0,00
RefContrat;0490605825401;HE00970926;049000;0490605825401;008;010;ZZZZ;511;123;;000;S;000;20160519;20160519;00000000;201000,00;443197449006058254640;O;N;0,00
RefContrat1111;0482578913703;HE00990012;048200;0482578913703;008;010;ZZZZ;312;045;;000;S;000;20160519;20160519;00000000;62412,00;443194448205789137041;O;N;0,00
RefContrat;0477605862201;HE00990497;047700;0477605862201;008;010;ZZZZ;511;123;aaa;000;S;000;20160519;20160519;00000000;164000,00;443197547706058622940;O;N;0,00
CFCMACREDIT5A001-FLUXHORSBILANJOUR                 20160515155302
